Region,Ankuenfte,Ankuenfte_Change,Uebernachtungen,Uebernachtungen_Change,Aufenthaltslaenge_mean,Sequence
NI_Deutschland,105382,28.2,410768,23.2,3.9,200906
NI_Ausland,20359,-3.1,55681,5.8,2.7,200906
NW,62899,14.9,156945,22.6,2.5,200906
NW_Deutschland,52825,17.6,128011,27.1,2.4,200906
NW_Ausland,10074,2.5,28934,6.1,2.9,200906
RP,77998,15.7,254015,23.1,3.3,200906
RP_Deutschland,48124,23.1,150582,33.6,3.1,200906
RP_Ausland,29874,5.5,103433,10.5,3.5,200906
SL,5787,38.5,13474,17.1,2.3,200906
SL_Deutschland,5124,56.2,11266,15.8,2.2,200906
SL_Ausland,663,-26.2,2208,24.0,3.3,200906
SN,23063,1.1,62612,3.7,2.7,200906
SN_Deutschland,19641,5.0,51801,7.7,2.6,200906
SN_Ausland,3422,-16.6,10811,-11.7,3.2,200906
ST,17842,10.4,41984,16.0,2.4,200906
ST_Deutschland,15676,18.9,36669,23.6,2.3,200906
ST_Ausland,2166,-27.2,5315,-18.7,2.5,200906
SH,100871,16.9,350050,10.4,3.5,200906
SH_Deutschland,91689,19.0,330066,11.2,3.6,200906
SH_Ausland,9182,-0.9,19984,-1.1,2.2,200906
TH,15728,23.5,38627,20.6,2.5,200906
TH_Deutschland,13478,31.9,31905,29.0,2.4,200906
TH_Ausland,2250,-10.4,6722,-7.7,3.0,200906
BRD,1732820,8.1,6613380,5.5,3.8,200907
BRD_Deutschland,1324869,11.8,5500054,8.1,4.2,200907
BRD_Ausland,407951,-2.3,1113326,-5.6,2.7,200907
BW,192289,-3.2,640208,-8.8,3.3,200907
BW_Deutschland,110125,-1.4,408984,-6.4,3.7,200907
BW_Ausland,82164,-5.5,231224,-12.8,2.8,200907
BY,283327,1.4,875378,-4.7,3.1,200907
BY_Deutschland,175239,7.4,656106,-2.2,3.7,200907
BY_Ausland,108088,-7.0,219272,-11.3,2.0,200907
BE,11166,39.1,31687,44.2,2.8,200907
BE_Deutschland,5005,59.3,14901,68.6,3.0,200907
BE_Ausland,6161,26.1,16786,27.7,2.7,200907
BR,79545,13.9,269404,18.3,3.4,200907
BR_Deutschland,71037,14.8,247797,19.1,3.5,200907
BR_Ausland,8508,7.1,21607,9.1,2.5,200907
HB,-999,-999.0,-999,-999.0,-999.0,200907
HB_Deutschland,-999,-999.0,-999,-999.0,-999.0,200907
HB_Ausland,-999,-999.0,-999,-999.0,-999.0,200907
HH,-999,-999.0,-999,-999.0,-999.0,200907
HH_Deutschland,-999,-999.0,-999,-999.0,-999.0,200907
HH_Ausland,-999,-999.0,-999,-999.0,-999.0,200907
HE,83621,4.4,265357,-2.3,3.2,200907
HE_Deutschland,64133,6.7,212084,-4.0,3.3,200907
HE_Ausland,19488,-2.3,53273,4.9,2.7,200907
MV,287513,16.6,1405638,15.7,4.9,200907
